# f (Hz), Re{G(jw)}, Im{G(jw)}
0.10000000,0.00001460,0.00088796
0.20000000,0.00001610,0.00178080
0.30000000,0.00002180,0.00267389
0.40000000,0.00003004,0.00356618
0.50000000,0.00003983,0.00445439
0.60000000,0.00006971,0.00532658
0.70000000,0.00010900,0.00624992
0.80000000,0.00012063,0.00715098
0.90000000,0.00014677,0.00802953
1.00000000,0.00022037,0.00895100
1.10000000,0.00023324,0.00986842
1.20000000,0.00027594,0.01074561
1.30000000,0.00035902,0.01169826
1.40000000,0.00037639,0.01261212
1.50000000,0.00047456,0.01350048
1.60000000,0.00051868,0.01448611
1.70000000,0.00056879,0.01537608
1.80000000,0.00069336,0.01636311
1.90000000,0.00071546,0.01729469
2.00000000,0.00087362,0.01823308
2.10000000,0.00089713,0.01923620
2.20000000,0.00103465,0.02013870
2.30000000,0.00110815,0.02120370
2.40000000,0.00121336,0.02210639
2.50000000,0.00134663,0.02320015
2.60000000,0.00142718,0.02412131
2.70000000,0.00161016,0.02523004
2.80000000,0.00167454,0.02617676
2.90000000,0.00189706,0.02730041
3.00000000,0.00195376,0.02827351
3.10000000,0.00220751,0.02941990
3.20000000,0.00226540,0.03041420
3.30000000,0.00254289,0.03159577
3.40000000,0.00261260,0.03260232
3.50000000,0.00290397,0.03383317
3.60000000,0.00300099,0.03484186
3.70000000,0.00329171,0.03613393
3.80000000,0.00343974,0.03713941
3.90000000,0.00370840,0.03849756
4.00000000,0.00394104,0.03950810
4.10000000,0.00416049,0.04092246
4.20000000,0.00451340,0.04197390
4.30000000,0.00465905,0.04340773
4.40000000,0.00514052,0.04457213
4.50000000,0.00521975,0.04595501
4.60000000,0.00577401,0.04730601
4.70000000,0.00586797,0.04857103
4.80000000,0.00639383,0.05012179
4.90000000,0.00664125,0.05128098
5.00000000,0.00704624,0.05297656
5.10000000,0.00756413,0.05416554
5.20000000,0.00779027,0.05587319
5.30000000,0.00853542,0.05731876
5.40000000,0.00868107,0.05883505
5.50000000,0.00941673,0.06061961
5.60000000,0.00979190,0.06192200
5.70000000,0.01032007,0.06391256
5.80000000,0.01113063,0.06531909
5.90000000,0.01139957,0.06722086
6.00000000,0.01240352,0.06908841
6.10000000,0.01277179,0.07062835
6.20000000,0.01357342,0.07286724
6.30000000,0.01451293,0.07437747
6.40000000,0.01495312,0.07659214
6.50000000,0.01622879,0.07867053
6.60000000,0.01674987,0.08040996
6.70000000,0.01777561,0.08296790
6.80000000,0.01905126,0.08470438
6.90000000,0.01963900,0.08715406
7.00000000,0.02122597,0.08964464
7.10000000,0.02213295,0.09149683
7.20000000,0.02330880,0.09444522
7.30000000,0.02516563,0.09663597
7.40000000,0.02597486,0.09913795
7.50000000,0.02784195,0.10223727
7.60000000,0.02957916,0.10427970
7.70000000,0.03082370,0.10750713
7.80000000,0.03331665,0.11052208
7.90000000,0.03486336,0.11285976
8.00000000,0.03686702,0.11657953
8.10000000,0.03982380,0.11938886
8.20000000,0.04146562,0.12237173
8.30000000,0.04435556,0.12636847
8.40000000,0.04761214,0.12902667
8.50000000,0.04976739,0.13275701
8.60000000,0.05362797,0.13688398
8.70000000,0.05716863,0.13957230
8.80000000,0.06021327,0.14396421
8.90000000,0.06515130,0.14810981
9.00000000,0.06914849,0.15099037
9.10000000,0.07339312,0.15588533
9.20000000,0.07957256,0.15994399
9.30000000,0.08434555,0.16306032
9.40000000,0.09009310,0.16826412
9.50000000,0.09776881,0.17209577
9.60000000,0.10373246,0.17530705
9.70000000,0.11132641,0.18054976
9.80000000,0.12086668,0.18389785
9.90000000,0.12849183,0.18682864
10.00000000,0.13832287,0.19166543
10.10000000,0.15017895,0.19404704
10.20000000,0.15994330,0.19597942
10.30000000,0.17237289,0.19965287
10.40000000,0.18696985,0.20020496
10.50000000,0.19920428,0.19994429
10.60000000,0.21436044,0.20123022
10.70000000,0.23179511,0.19858554
10.80000000,0.24636933,0.19436393
10.90000000,0.26368794,0.19150870
11.00000000,0.28318345,0.18384811
11.10000000,0.29893138,0.17354112
11.20000000,0.31649162,0.16462242
11.30000000,0.33573510,0.15030273
11.40000000,0.34993697,0.13236486
11.50000000,0.36409804,0.11642422
11.60000000,0.37917691,0.09540901
11.70000000,0.38799349,0.07053555
11.80000000,0.39440399,0.04910344
11.90000000,0.40140572,0.02432496
12.00000000,0.40196506,-0.00358029
12.10000000,0.39821500,-0.02640876
12.20000000,0.39583163,-0.04979647
12.30000000,0.38844015,-0.07530310
12.40000000,0.37597656,-0.09524691
12.50000000,0.36621616,-0.11285578
12.60000000,0.35400413,-0.13212395
12.70000000,0.33701659,-0.14713877
12.80000000,0.32317001,-0.15753622
12.90000000,0.30968833,-0.16960933
13.00000000,0.29248392,-0.17975956
13.10000000,0.27709127,-0.18430372
13.20000000,0.26457314,-0.19007504
13.30000000,0.24979420,-0.19614566
13.40000000,0.23455757,-0.19751433
13.50000000,0.22358039,-0.19841997
13.60000000,0.21204191,-0.20117658
13.70000000,0.19855580,-0.20159587
13.80000000,0.18845711,-0.19931952
13.90000000,0.17986234,-0.19937119
14.00000000,0.16932953,-0.19949425
14.10000000,0.15947333,-0.19627720
14.20000000,0.15288014,-0.19398753
14.30000000,0.14541638,-0.19344323
14.40000000,0.13651776,-0.19115145
14.50000000,0.13043043,-0.18720330
14.60000000,0.12538620,-0.18552929
14.70000000,0.11866143,-0.18419711
14.80000000,0.11215222,-0.18039633
14.90000000,0.10837455,-0.17724405
15.00000000,0.10398427,-0.17589418
15.10000000,0.09810530,-0.17364076
15.20000000,0.09395673,-0.16960578
15.30000000,0.09123259,-0.16738201
15.40000000,0.08719507,-0.16605227
15.50000000,0.08244310,-0.16305644
15.60000000,0.07996065,-0.15958680
15.70000000,0.07767607,-0.15799622
15.80000000,0.07394520,-0.15649587
15.90000000,0.07042347,-0.15316928
16.00000000,0.06890086,-0.15045602
16.10000000,0.06682841,-0.14923373
16.20000000,0.06345471,-0.14751069
16.30000000,0.06100944,-0.14423766
16.40000000,0.05998550,-0.14216409
16.50000000,0.05805319,-0.14114477
16.60000000,0.05508803,-0.13924085
16.70000000,0.05345327,-0.13623579
16.80000000,0.05269938,-0.13462794
16.90000000,0.05090061,-0.13372539
17.00000000,0.04834970,-0.13175103
17.10000000,0.04725860,-0.12905857
17.20000000,0.04667441,-0.12776816
17.30000000,0.04502585,-0.12695591
17.40000000,0.04283660,-0.12500222
17.50000000,0.04209285,-0.12259092
17.60000000,0.04164766,-0.12151590
17.70000000,0.04017229,-0.12078184
17.80000000,0.03825981,-0.11893895
17.90000000,0.03772345,-0.11673692
18.00000000,0.03741723,-0.11579419
18.10000000,0.03613262,-0.11516043
18.20000000,0.03441712,-0.11348669
18.30000000,0.03398566,-0.11143215
18.40000000,0.03382558,-0.11055390
18.50000000,0.03274384,-0.11002090
18.60000000,0.03117314,-0.10856431
18.70000000,0.03075727,-0.10660522
18.80000000,0.03072703,-0.10574397
18.90000000,0.02987630,-0.10530680
19.00000000,0.02842619,-0.10410708
19.10000000,0.02792621,-0.10222710
19.20000000,0.02802166,-0.10130523
19.30000000,0.02740878,-0.10094881
19.40000000,0.02611132,-0.10004044
19.50000000,0.02545344,-0.09827458
19.60000000,0.02562868,-0.09722265
19.70000000,0.02527903,-0.09689934
19.80000000,0.02415313,-0.09627157
19.90000000,0.02330705,-0.09471108
20.00000000,0.02345731,-0.09348480
20.10000000,0.02337218,-0.09311815
20.20000000,0.02250564,-0.09273983
20.30000000,0.02149939,-0.09149758
20.40000000,0.02148178,-0.09009743
20.50000000,0.02161681,-0.08958596
20.60000000,0.02106411,-0.08936847
20.70000000,0.02003107,-0.08853499
20.80000000,0.01970380,-0.08709019
20.90000000,0.01996509,-0.08632476
21.00000000,0.01974597,-0.08614417
21.10000000,0.01887169,-0.08569921
21.20000000,0.01817491,-0.08444411
21.30000000,0.01836038,-0.08336924
21.40000000,0.01846042,-0.08307311
21.50000000,0.01789847,-0.08289382
21.60000000,0.01700878,-0.08205325
21.70000000,0.01686057,-0.08078875
21.80000000,0.01715821,-0.08020831
21.90000000,0.01696739,-0.08010113
22.00000000,0.01619500,-0.07972124
22.10000000,0.01560485,-0.07861661
22.20000000,0.01580426,-0.07764279
22.30000000,0.01596173,-0.07739015
22.40000000,0.01553189,-0.07728977
22.50000000,0.01474236,-0.07665432
22.60000000,0.01451678,-0.07550105
22.70000000,0.01483781,-0.07487729
22.80000000,0.01481472,-0.07478824
22.90000000,0.01423071,-0.07459187
23.00000000,0.01356127,-0.07374325
23.10000000,0.01362626,-0.07274072
23.20000000,0.01390737,-0.07237475
23.30000000,0.01373934,-0.07234378
23.40000000,0.01307181,-0.07202116
23.50000000,0.01260054,-0.07106775
23.60000000,0.01281253,-0.07024823
23.70000000,0.01303342,-0.07004626
23.80000000,0.01274417,-0.07002472
23.90000000,0.01207897,-0.06960236
24.00000000,0.01177861,-0.06863142
24.10000000,0.01207258,-0.06797665
24.20000000,0.01221863,-0.06786344
24.30000000,0.01186698,-0.06783450
24.40000000,0.01123590,-0.06734741
24.50000000,0.01104753,-0.06641242
24.60000000,0.01136350,-0.06585970
24.70000000,0.01146200,-0.06581257
24.80000000,0.01109686,-0.06577515
24.90000000,0.01049507,-0.06525627
25.00000000,0.01038136,-0.06436638
25.10000000,0.01069779,-0.06387840
25.20000000,0.01079481,-0.06385785
25.30000000,0.01041941,-0.06381550
25.40000000,0.00986134,-0.06333036
25.50000000,0.00973840,-0.06248139
25.60000000,0.01005728,-0.06201110
25.70000000,0.01017263,-0.06199049
25.80000000,0.00985002,-0.06198983
25.90000000,0.00929502,-0.06154022
26.00000000,0.00914363,-0.06074773
26.10000000,0.00945142,-0.06025017
26.20000000,0.00960452,-0.06019844
26.30000000,0.00935506,-0.06023535
26.40000000,0.00883766,-0.05990924
26.50000000,0.00859033,-0.05915659
26.60000000,0.00885916,-0.05859263
26.70000000,0.00908629,-0.05849920
26.80000000,0.00891153,-0.05856954
26.90000000,0.00843748,-0.05835553
27.00000000,0.00810037,-0.05769379
27.10000000,0.00829137,-0.05705046
27.20000000,0.00855414,-0.05687709
27.30000000,0.00851436,-0.05695428
27.40000000,0.00811935,-0.05686632
27.50000000,0.00768025,-0.05633712
27.60000000,0.00772082,-0.05564493
27.70000000,0.00803603,-0.05534320
27.80000000,0.00811950,-0.05538494
27.90000000,0.00784750,-0.05541438
28.00000000,0.00738523,-0.05507387
28.10000000,0.00721855,-0.05440255
28.20000000,0.00747210,-0.05393021
28.30000000,0.00769912,-0.05387619
28.40000000,0.00758166,-0.05396949
28.50000000,0.00717234,-0.05382108
28.60000000,0.00683833,-0.05327727
28.70000000,0.00694494,-0.05267126
28.80000000,0.00723334,-0.05244740
28.90000000,0.00731319,-0.05250091
29.00000000,0.00703522,-0.05253207
29.10000000,0.00659751,-0.05222909
29.20000000,0.00646561,-0.05161318
29.30000000,0.00668849,-0.05116426
29.40000000,0.00692502,-0.05109807
29.50000000,0.00685800,-0.05118158
29.60000000,0.00653172,-0.05112091
29.70000000,0.00615465,-0.05069854
29.80000000,0.00618467,-0.05009615
29.90000000,0.00644410,-0.04980050
30.00000000,0.00660401,-0.04982383
30.10000000,0.00645127,-0.04990031
30.20000000,0.00607168,-0.04975084
30.30000000,0.00579156,-0.04925365
30.40000000,0.00591334,-0.04872134
30.50000000,0.00618209,-0.04853497
30.60000000,0.00628730,-0.04859091
30.70000000,0.00606313,-0.04865541
30.80000000,0.00568437,-0.04843938
30.90000000,0.00548426,-0.04793459
31.00000000,0.00564951,-0.04746318
31.10000000,0.00589936,-0.04733860
31.20000000,0.00598506,-0.04739709
31.30000000,0.00574313,-0.04745458
31.40000000,0.00538393,-0.04720948
31.50000000,0.00519500,-0.04671799
31.60000000,0.00537681,-0.04627287
31.70000000,0.00563385,-0.04615880
31.80000000,0.00568448,-0.04624341
31.90000000,0.00546971,-0.04630990
32.00000000,0.00510240,-0.04607569
32.10000000,0.00493466,-0.04559582
32.20000000,0.00512101,-0.04516229
32.30000000,0.00535302,-0.04505041
32.40000000,0.00543679,-0.04512574
32.50000000,0.00523212,-0.04520590
32.60000000,0.00490498,-0.04499521
32.70000000,0.00469771,-0.04456743
32.80000000,0.00482914,-0.04410044
32.90000000,0.00509093,-0.04397272
33.00000000,0.00519582,-0.04404139
33.10000000,0.00504395,-0.04411367
33.20000000,0.00471193,-0.04399831
33.30000000,0.00447402,-0.04361638
33.40000000,0.00454777,-0.04316077
33.50000000,0.00478069,-0.04292072
33.60000000,0.00495728,-0.04296620
33.70000000,0.00486572,-0.04307557
33.80000000,0.00458702,-0.04302279
33.90000000,0.00429919,-0.04273052
34.00000000,0.00426521,-0.04227552
34.10000000,0.00445943,-0.04197308
34.20000000,0.00467975,-0.04192735
34.30000000,0.00471394,-0.04200970
34.40000000,0.00451568,-0.04208561
34.50000000,0.00420239,-0.04188812
34.60000000,0.00400955,-0.04150454
34.70000000,0.00415520,-0.04109685
34.80000000,0.00439184,-0.04094578
34.90000000,0.00452729,-0.04100665
35.00000000,0.00444941,-0.04109382
35.10000000,0.00415726,-0.04103034
35.20000000,0.00390195,-0.04076988
35.30000000,0.00385615,-0.04034801
35.40000000,0.00405002,-0.04005704
35.50000000,0.00425134,-0.03999305
35.60000000,0.00431139,-0.04010790
35.70000000,0.00417316,-0.04015546
35.80000000,0.00387518,-0.04005039
35.90000000,0.00366721,-0.03969474
36.00000000,0.00371477,-0.03930400
36.10000000,0.00393404,-0.03908372
36.20000000,0.00410332,-0.03909675
36.30000000,0.00412691,-0.03921709
36.40000000,0.00391641,-0.03922528
36.50000000,0.00363289,-0.03908717
36.60000000,0.00346188,-0.03874571
36.70000000,0.00356744,-0.03838161
36.80000000,0.00379343,-0.03818705
36.90000000,0.00395171,-0.03821619
37.00000000,0.00392153,-0.03833233
37.10000000,0.00372333,-0.03835550
37.20000000,0.00345084,-0.03821066
37.30000000,0.00329924,-0.03779609
37.40000000,0.00342513,-0.03751284
37.50000000,0.00361944,-0.03734657
37.60000000,0.00375876,-0.03735737
37.70000000,0.00376353,-0.03746066
37.80000000,0.00356862,-0.03748843
37.90000000,0.00330970,-0.03734396
38.00000000,0.00314827,-0.03699410
38.10000000,0.00324599,-0.03666559
38.20000000,0.00344864,-0.03650579
38.30000000,0.00360062,-0.03653105
38.40000000,0.00360936,-0.03660847
38.50000000,0.00342653,-0.03666909
38.60000000,0.00318981,-0.03654674
38.70000000,0.00302395,-0.03626285
38.80000000,0.00304754,-0.03590185
38.90000000,0.00326018,-0.03573764
39.00000000,0.00342209,-0.03568588
39.10000000,0.00348381,-0.03577075
39.20000000,0.00335835,-0.03585642
39.30000000,0.00311106,-0.03578991
39.40000000,0.00293788,-0.03557017
39.50000000,0.00289340,-0.03524263
39.60000000,0.00304521,-0.03495587
39.70000000,0.00324385,-0.03487698
39.80000000,0.00330372,-0.03496822
39.90000000,0.00327543,-0.03501500
40.00000000,0.00308668,-0.03506810
40.10000000,0.00286293,-0.03485943
40.20000000,0.00274746,-0.03458212
40.30000000,0.00279800,-0.03430732
40.40000000,0.00297131,-0.03416024
40.50000000,0.00314786,-0.03412140
40.60000000,0.00323024,-0.03422863
40.70000000,0.00307680,-0.03433089
40.80000000,0.00283593,-0.03427646
40.90000000,0.00263492,-0.03408753
41.00000000,0.00261876,-0.03373597
41.10000000,0.00271857,-0.03347885
41.20000000,0.00292399,-0.03334749
41.30000000,0.00306227,-0.03339313
41.40000000,0.00304377,-0.03353103
41.50000000,0.00290383,-0.03355008
41.60000000,0.00267079,-0.03349956
41.70000000,0.00254039,-0.03326692
41.80000000,0.00249606,-0.03294854
41.90000000,0.00264309,-0.03270391
42.00000000,0.00281891,-0.03263888
42.10000000,0.00291635,-0.03267327
42.20000000,0.00289793,-0.03280003
42.30000000,0.00275553,-0.03282628
42.40000000,0.00256315,-0.03274122
42.50000000,0.00234833,-0.03255510
42.60000000,0.00240118,-0.03224105
42.70000000,0.00250437,-0.03199744
42.80000000,0.00271315,-0.03193244
42.90000000,0.00282272,-0.03194739
43.00000000,0.00281035,-0.03206027
43.10000000,0.00269608,-0.03211146
43.20000000,0.00249946,-0.03207114
43.30000000,0.00228034,-0.03189263
43.40000000,0.00226186,-0.03158612
43.50000000,0.00239558,-0.03136251
43.60000000,0.00253294,-0.03124507
43.70000000,0.00268220,-0.03125830
43.80000000,0.00269753,-0.03132168
43.90000000,0.00259441,-0.03140838
44.00000000,0.00242384,-0.03145312
44.10000000,0.00224712,-0.03125622
44.20000000,0.00214491,-0.03101142
44.30000000,0.00224976,-0.03075639
44.40000000,0.00236401,-0.03058456
44.50000000,0.00254444,-0.03053147
44.60000000,0.00261258,-0.03061654
44.70000000,0.00257225,-0.03070291
44.80000000,0.00239463,-0.03071678
44.90000000,0.00221125,-0.03069563
45.00000000,0.00205051,-0.03048580
45.10000000,0.00203898,-0.03019129
45.20000000,0.00214525,-0.02999330
45.30000000,0.00233086,-0.02987457
45.40000000,0.00242119,-0.02988335
45.50000000,0.00250812,-0.02997612
45.60000000,0.00243878,-0.03004586
45.70000000,0.00224070,-0.03007392
45.80000000,0.00211225,-0.02996930
45.90000000,0.00196626,-0.02974376
46.00000000,0.00199652,-0.02951806
46.10000000,0.00209242,-0.02927162
46.20000000,0.00224706,-0.02922198
46.30000000,0.00234036,-0.02927842
46.40000000,0.00241020,-0.02932504
46.50000000,0.00234585,-0.02942521
46.60000000,0.00217656,-0.02945029
46.70000000,0.00199254,-0.02927373
46.80000000,0.00188904,-0.02913285
46.90000000,0.00185331,-0.02884986
47.00000000,0.00196812,-0.02863649
47.10000000,0.00215409,-0.02860061
47.20000000,0.00223632,-0.02861186
47.30000000,0.00232337,-0.02866450
47.40000000,0.00223592,-0.02879207
47.50000000,0.00209948,-0.02878923
47.60000000,0.00192364,-0.02872021
47.70000000,0.00177896,-0.02851209
47.80000000,0.00179026,-0.02826001
47.90000000,0.00187907,-0.02803479
48.00000000,0.00201184,-0.02793153
48.10000000,0.00211216,-0.02792803
48.20000000,0.00224626,-0.02802718
48.30000000,0.00218836,-0.02812777
48.40000000,0.00205741,-0.02821386
48.50000000,0.00187861,-0.02813116
48.60000000,0.00179272,-0.02800135
48.70000000,0.00171326,-0.02781244
48.80000000,0.00173386,-0.02751947
48.90000000,0.00187012,-0.02739422
49.00000000,0.00195587,-0.02733324
49.10000000,0.00207882,-0.02737378
49.20000000,0.00218504,-0.02744247
49.30000000,0.00203888,-0.02753953
49.40000000,0.00193894,-0.02755961
49.50000000,0.00176799,-0.02744711
49.60000000,0.00162535,-0.02730899
49.70000000,0.00158569,-0.02705494
49.80000000,0.00171952,-0.02693259
49.90000000,0.00186804,-0.02678294
50.00000000,0.00193545,-0.02676838
50.10000000,0.00202900,-0.02679455
50.20000000,0.00207428,-0.02688249
